day,second_of_day,timestamp,origin_lat,origin_lon,origin_node,destination_node,intensity
1,44791,Day 1: 12:26:31,40.345202799999996,-74.6697251,99,1293,25
1,59316,Day 1: 16:28:36,40.353998,-74.663912,738,1293,26
1,77955,Day 1: 21:39:15,40.3550282,-74.6576039,636,1293,24
1,7407,Day 1: 02:03:27,40.3602858,-74.6525134,411,1293,21
1,62426,Day 1: 17:20:26,40.356315,-74.656792,637,1293,44
1,61534,Day 1: 17:05:34,40.32320990001872,-74.64706960009202,765,1293,55
2,57876,Day 2: 16:04:36,40.352332800000006,-74.6509065,269,1293,48
2,58902,Day 2: 16:21:42,40.3510944,-74.6657416,501,1293,44
2,64680,Day 2: 17:58:00,40.3602858,-74.6525134,411,1293,10
2,66562,Day 2: 18:29:22,40.358948999999996,-74.657925,409,1293,24
2,0,Day 2: 00:00:00,40.3417545,-74.6599346,1397,1293,5
2,61669,Day 2: 17:07:49,40.35126050007238,-74.65888130007485,836,1293,59
2,72300,Day 2: 20:05:00,40.354839000032335,-74.64312100005067,344,1293,17
2,63957,Day 2: 17:45:57,40.32900300000001,-74.597871,1064,1293,24
2,64361,Day 2: 17:52:41,40.3201,-74.646343,642,1293,27
2,58038,Day 2: 16:07:18,40.31767599999999,-74.651031,640,1293,8
3,60076,Day 3: 16:41:16,40.351469000016294,-74.65771509990024,913,1293,18
3,71974,Day 3: 19:59:34,40.34702130000001,-74.6618575,725,1293,20
3,61373,Day 3: 17:02:53,40.35660970003514,-74.65553755002915,852,1293,12
3,62655,Day 3: 17:24:15,40.3511892,-74.6604189,510,1293,30
3,51641,Day 3: 14:20:41,40.352679,-74.6497542,570,1293,44
3,61005,Day 3: 16:56:45,40.34990335008203,-74.66119355006516,340,1293,16
3,36298,Day 3: 10:04:58,40.350255,-74.64598,309,1293,49
3,63307,Day 3: 17:35:07,40.361197,-74.649475,215,1293,33
3,45618,Day 3: 12:40:18,40.353054,-74.655347,561,1293,32
4,61413,Day 4: 17:03:33,40.35323199999999,-74.643026,333,1293,40
4,60465,Day 4: 16:47:45,40.313908577414935,-74.63547040290699,670,1293,15
4,61341,Day 4: 17:02:21,40.338578999999996,-74.655601,793,1293,47
4,57311,Day 4: 15:55:11,40.3555604,-74.6487883,573,1293,25
4,64129,Day 4: 17:48:49,40.3552209,-74.6621499,801,1293,29
4,57157,Day 4: 15:52:37,40.353817,-74.655755,274,1293,33
4,65718,Day 4: 18:15:18,40.350852800000006,-74.6520544,634,1293,32
5,63259,Day 5: 17:34:19,40.354178199999986,-74.6448297,345,1293,9
5,40162,Day 5: 11:09:22,40.32439060000001,-74.6425825,768,1293,29
5,56881,Day 5: 15:48:01,40.34781850000001,-74.6550376,632,1293,36
5,61092,Day 5: 16:58:12,40.356079799999996,-74.647222,132,1293,13
5,51873,Day 5: 14:24:33,40.317849,-74.661657,379,1293,24
5,62617,Day 5: 17:23:37,40.3602858,-74.6525134,411,1293,31
5,72027,Day 5: 20:00:27,40.300808999999994,-74.684304,603,1293,5
5,61002,Day 5: 16:56:42,40.358847999999995,-74.650709,589,1293,8
6,61453,Day 6: 17:04:13,40.3240585,-74.640482,63,1293,31
6,63845,Day 6: 17:44:05,40.351469000016294,-74.65771509990024,913,1293,26
6,52401,Day 6: 14:33:21,40.351017150011394,-74.66629069994238,500,1293,29
6,80609,Day 6: 22:23:29,40.35048900000001,-74.66299,350,1293,25
6,68227,Day 6: 18:57:07,40.353861800000004,-74.6615699,256,1293,38
6,57766,Day 6: 16:02:46,40.35197399999999,-74.660747,508,1293,10
6,62426,Day 6: 17:20:26,40.356864,-74.6478104,436,1293,30
6,57185,Day 6: 15:53:05,40.32320990001872,-74.64706960009202,765,1293,18
6,61928,Day 6: 17:12:08,40.3046081,-74.6410071,1351,1293,20
6,57643,Day 6: 16:00:43,40.36040169999998,-74.6504046,954,1293,34
7,47740,Day 7: 13:15:40,40.34535520000001,-74.6457153,1250,1293,42
7,65158,Day 7: 18:05:58,40.3458272,-74.6702286,100,1293,14
7,63267,Day 7: 17:34:27,40.35048900000001,-74.66299,350,1293,37
7,63266,Day 7: 17:34:26,40.35518239999999,-74.6534134,270,1293,33
7,56779,Day 7: 15:46:19,40.35332400000001,-74.647674,547,1293,25
8,63457,Day 8: 17:37:37,40.31026810000001,-74.6432336,1380,1293,35
8,71784,Day 8: 19:56:24,40.35332400000001,-74.647674,547,1293,23
8,66942,Day 8: 18:35:42,40.3433407,-74.6611467,892,1293,19
8,57120,Day 8: 15:52:00,40.35392099999999,-74.659713,787,1293,23
8,56717,Day 8: 15:45:17,40.3240585,-74.640482,63,1293,30
8,66451,Day 8: 18:27:31,40.3536231,-74.6466972,549,1293,40
8,69406,Day 8: 19:16:46,40.35529859999999,-74.6496337,572,1293,31
9,8853,Day 9: 02:27:33,40.32310250000795,-74.65431900002949,402,1293,10
9,61311,Day 9: 17:01:51,40.32984199999999,-74.605019,1015,1293,21
9,61142,Day 9: 16:59:02,40.34937909999999,-74.6562573,629,1293,16
9,61327,Day 9: 17:02:07,40.3463245,-74.6599466,1410,1293,22
9,62864,Day 9: 17:27:44,40.311194400000005,-74.6448072,1390,1293,5
9,65520,Day 9: 18:12:00,40.35392099999999,-74.659713,787,1293,64
9,63845,Day 9: 17:44:05,40.327322999999986,-74.6436012,50,1293,11
10,59390,Day 10: 16:29:50,40.352332800000006,-74.6509065,269,1293,67
10,61361,Day 10: 17:02:41,40.35529859999999,-74.6496337,572,1293,20
10,24326,Day 10: 06:45:26,40.356315,-74.656792,637,1293,6
10,61215,Day 10: 17:00:15,40.353054,-74.655347,561,1293,36
10,61189,Day 10: 16:59:49,40.361245999999994,-74.664488,241,1293,21
10,68998,Day 10: 19:09:58,40.352116,-74.663057,506,1293,17
10,30728,Day 10: 08:32:08,40.3542757,-74.6470376,802,1293,38
11,8950,Day 11: 02:29:10,40.3562039,-74.6504527,273,1293,40
