day,second_of_day,timestamp,origin_lat,origin_lon,origin_node,destination_node,intensity
1,57662,Day 1: 16:01:02,40.358662999999986,-74.651449,590,1293,7
1,57883,Day 1: 16:04:43,40.356790000000004,-74.644482,546,1293,21
1,68556,Day 1: 19:02:36,40.3550282,-74.6576039,636,1293,10
1,61515,Day 1: 17:05:15,40.34781850000001,-74.6550376,632,1293,47
1,57608,Day 1: 16:00:08,40.3500143,-74.6584985,942,1293,30
1,48430,Day 1: 13:27:10,40.3604457,-74.6519309,412,1293,35
2,61654,Day 2: 17:07:34,40.35188589999999,-74.6559076,851,1293,58
2,55234,Day 2: 15:20:34,40.36199873654654,-74.66430999651126,521,1293,23
2,57701,Day 2: 16:01:41,40.355717999999996,-74.646207,131,1293,26
2,25993,Day 2: 07:13:13,40.352116,-74.663057,506,1293,34
2,55879,Day 2: 15:31:19,40.353165999999995,-74.64818400000001,548,1293,18
2,61541,Day 2: 17:05:41,40.34470999999999,-74.66612,225,1293,15
2,70560,Day 2: 19:36:00,40.32439069999999,-74.6406996,92,1293,25
2,57535,Day 2: 15:58:55,40.34990335008203,-74.66119355006516,340,1293,22
3,42171,Day 3: 11:42:51,40.35349599999999,-74.656631,563,1293,20
3,61142,Day 3: 16:59:02,40.345370900000006,-74.66254150000002,224,1293,11
3,60244,Day 3: 16:44:04,40.318459959807655,-74.65514709868962,74,1293,37
3,65520,Day 3: 18:12:00,40.35126050007238,-74.65888130007485,836,1293,23
3,71569,Day 3: 19:52:49,40.361322999999985,-74.656026,252,1293,8
3,67326,Day 3: 18:42:06,40.362052999999996,-74.653109,254,1293,18
4,72146,Day 4: 20:02:26,40.327322999999986,-74.6436012,50,1293,12
4,64955,Day 4: 18:02:35,40.361207048020994,-74.65090559149054,917,1293,72
4,60968,Day 4: 16:56:08,40.3119542,-74.642638,1391,1293,9
4,61219,Day 4: 17:00:19,40.33048050000001,-74.6488148,885,1293,29
4,61397,Day 4: 17:03:17,40.3463245,-74.6599466,1410,1293,27
4,61117,Day 4: 16:58:37,40.344885399999995,-74.6603323,721,1293,50
4,66553,Day 4: 18:29:13,40.35762330000001,-74.6483873,433,1293,29
5,57630,Day 5: 16:00:30,40.35626049999998,-74.6612104,788,1293,35
5,63259,Day 5: 17:34:19,40.355357,-74.656382,562,1293,40
5,64114,Day 5: 17:48:34,40.32883459783517,-74.64662738546761,397,1293,8
5,68644,Day 5: 19:04:04,40.352816999999995,-74.649313,848,1293,55
5,43660,Day 5: 12:07:40,40.354308,-74.65308300000001,268,1293,25
5,66451,Day 5: 18:27:31,40.356790000000004,-74.644482,546,1293,27
5,48617,Day 5: 13:30:17,40.362052999999996,-74.653109,254,1293,43
5,60562,Day 5: 16:49:22,40.3511892,-74.6604189,510,1293,10
6,63945,Day 6: 17:45:45,40.34658959999999,-74.6646682,223,1293,15
6,85691,Day 6: 23:48:11,40.360518,-74.64422,37,1293,27
6,60948,Day 6: 16:55:48,40.353998,-74.663912,738,1293,31
6,57883,Day 6: 16:04:43,40.34897599999999,-74.645022,311,1293,8
6,71975,Day 6: 19:59:35,40.36040169999998,-74.6504046,954,1293,50
6,61218,Day 6: 17:00:18,40.32439069999999,-74.6406996,92,1293,25
6,64537,Day 6: 17:55:37,40.3542757,-74.6470376,802,1293,19
7,63581,Day 7: 17:39:41,40.35518239999999,-74.6534134,270,1293,41
7,71826,Day 7: 19:57:06,40.327322999999986,-74.6436012,50,1293,39
7,68341,Day 7: 18:59:01,40.35615549999999,-74.6616416,789,1293,18
7,59973,Day 7: 16:39:33,40.35489399999999,-74.650991,823,1293,30
7,60990,Day 7: 16:56:30,40.358847999999995,-74.650709,589,1293,40
7,71692,Day 7: 19:54:52,40.32163400000001,-74.645877,763,1293,19
