Person ID,OType,OName,OLon,OLat,OXCoord,OYCoord,ODepartureTime,DType,DName,DLon,DLat,DXCoord,DYCoord,GCDistance,Prob. of Driving Themselves,Prob. of Getting a Ride,Prob. of Using Uber/MT,Prob. of Taking AV System,Trip_Type
34004503665,O,REALOGY,-74.6634,40.349,2407,463,359.0,H,Home,-74.6664,40.3581,2407,464,0.6469,0.957,0.009,0.009,0.026,O
34004480719,O,CALLAWAY COMMERCIAL,-74.6639,40.3494,2407,463,381.0,O,ALL ABOUT APPLIANCES,-74.6502,40.3562,2408,464,0.8622,0.913,0.017,0.017,0.052,O
34004499919,H,Home,-74.6617,40.3498,2407,463,1414.0,O,HYATT REGENCY-PRINCETON,-74.6441,40.3244,2410,459,1.9881,0.318,0.068,0.068,0.546,O
34004251215,W,PRINCETON TAXI,-74.6637,40.3485,2407,463,3271.0,O,PRINCETON HEALTHCARE SYST,-74.6502,40.3562,2408,464,0.891,0.319,0.068,0.068,0.545,W
34004563203,W,PRINCETON TAXI,-74.6637,40.3485,2407,463,3404.0,O,COVANCE INC,-74.647,40.3187,2410,459,2.2394,0.271,0.073,0.073,0.583,W
34008689193,W,QFORMA INC,-74.6619,40.3494,2407,463,3608.0,O,WESTMINSTER CONSERVATORY-MUSIC,-74.6539,40.3564,2408,464,0.6441,0.252,0.075,0.075,0.598,W
34001380951,W,PRINCETON TAXI,-74.6637,40.3485,2407,463,3676.0,O,COVANCE INC,-74.647,40.3187,2410,459,2.2394,0.307,0.069,0.069,0.554,W
34004503877,O,NASSAU CLUB,-74.6632,40.3478,2407,463,4305.0,H,Home,-74.6629,40.3587,2407,464,0.755,0.15,0.17,0.17,0.51,O
34004498976,H,Home,-74.6654,40.3532,2407,463,5558.0,O,COLITSAS THOMAS & ASSOC PA,-74.6502,40.3562,2408,464,0.8303,0.0,0.0,0.0,0.0,O
34004499796,H,Home,-74.6644,40.3501,2407,463,5558.0,O,HYATT REGENCY-PRINCETON,-74.6441,40.3244,2410,459,2.0785,0.143,0.086,0.086,0.686,O
34004333538,O,PAUL ROBESON CTR-THE ARTS,-74.6612,40.3523,2407,463,6692.0,W,ROCKWOOD SPECIALTIES GROUP INC,-74.649,40.3225,2410,459,2.16,0.937,0.006,0.006,0.05,W
34004496884,W,LACROSSE UNLIMITED,-74.6623,40.3507,2407,463,6807.0,H,Home,-74.6517,40.3552,2408,464,0.6395,0.0,0.017,0.017,0.967,W
34004476041,W,TIPPY TOES,-74.6629,40.3492,2407,463,7132.0,O,PRINCETON REGIONAL SCHOOLS,-74.6649,40.3585,2407,464,0.65,0.903,0.01,0.01,0.078,W
34004493504,W,VIOCARE TECHNOLOGIES,-74.6611,40.3538,2407,463,7363.0,O,PROXIMARE INC,-74.649,40.3225,2410,459,2.258,0.941,0.012,0.012,0.035,W
