ODepartureTime,formatted_time,origin_name,origin_lat,origin_lon,destination_name,destination_lat,destination_lon
0.0,00:00:00,HYATT REGENCY-PRINCETON,40.3244,-74.6441,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
583.0,00:09:43,Home,40.3536,-74.651,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1513.0,00:25:13,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1550.0,00:25:50,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1565.0,00:26:05,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,PRINCETON HEALTHCARE SYST,40.3562,-74.6502
1621.0,00:27:01,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1697.0,00:28:17,BUDNY FUEL OIL CO,40.3562,-74.6502,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1760.0,00:29:20,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1797.0,00:29:57,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1813.0,00:30:13,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1825.0,00:30:25,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1909.0,00:31:49,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1936.0,00:32:16,PHARMASSET INC,40.3554,-74.5966,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
1994.0,00:33:14,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,PRINCETON HEALTHCARE SYST,40.3562,-74.6502
2303.0,00:38:23,BRACCO DIAGNOSTICS INC,40.3586,-74.5985,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
2604.0,00:43:24,ROCKWOOD SPECIALTIES GROUP INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3087.0,00:51:27,DOUGLASS LIMOUSINE,40.3515,-74.6518,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3131.0,00:52:11,VIBURNUM PREMIER FLORIST,40.3515,-74.6547,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3210.0,00:53:30,PRINCETON UNIVERSITY STORE,40.35,-74.6588,PRINCETON HEALTHCARE SYST,40.3562,-74.6502
3271.0,00:54:31,PRINCETON TAXI,40.3485,-74.6637,PRINCETON HEALTHCARE SYST,40.3562,-74.6502
3432.0,00:57:12,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3474.0,00:57:54,KOVI TOWING SVC,40.3562,-74.6502,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3475.0,00:57:55,SEARS,40.2898,-74.6854,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3527.0,00:58:47,VICTORIA'S SECRET,40.2936,-74.6814,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3546.0,00:59:06,A AMIGO PRINCETON TAXICAB SVC,40.3495,-74.6604,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3549.0,00:59:09,SEARS,40.2898,-74.6854,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3556.0,00:59:16,24-7 LIMOUSINE,40.3061,-74.6456,PRINCETON HEALTHCARE MGMT SVC,40.322,-74.648
3573.0,00:59:33,PRINCETON UNIVERSITY STORE,40.35,-74.6588,PRINCETON HEALTHCARE MGMT SVC,40.322,-74.648
3583.0,00:59:43,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR,40.3568,-74.6617
3632.0,01:00:32,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3639.0,01:00:39,GAP KIDS,40.2925,-74.684,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3647.0,01:00:47,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3648.0,01:00:48,DOUGLASS LIMOUSINE,40.3515,-74.6518,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3686.0,01:01:26,J CREW,40.3494,-74.6607,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3712.0,01:01:52,COHEN'S FASHION OPTICAL,40.2932,-74.6826,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3794.0,01:03:14,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3825.0,01:03:45,PROXIMARE INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3838.0,01:03:58,CORPORATE CARS OF AMERICA,40.3515,-74.6518,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3862.0,01:04:22,YATROFSKY PLUMBING & HEATING,40.3562,-74.6502,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
3935.0,01:05:35,GORDON'S JEWELERS,40.2924,-74.6841,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
4020.0,01:07:00,SPORTS AUTHORITY,40.2944,-74.6829,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
5243.0,01:27:23,Home,40.3069,-74.6416,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
6773.0,01:52:53,CORPORATE CARS OF AMERICA,40.3515,-74.6518,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
6953.0,01:55:53,PROXIMARE INC,40.3225,-74.649,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
6956.0,01:55:56,PRINCETON UNIVERSITY STORE,40.35,-74.6588,PRINCETON HEALTHCARE SYST,40.3562,-74.6502
7095.0,01:58:15,SUPERIOR CHEVROLET,40.2893,-74.6879,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
7149.0,01:59:09,DSW SHOE WAREHOUSE,40.295,-74.6847,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
7160.0,01:59:20,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
7192.0,01:59:52,SUPERIOR CHEVROLET,40.2893,-74.6879,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
7259.0,02:00:59,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
7264.0,02:01:04,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
7350.0,02:02:30,JAZAMS,40.35,-74.6607,PRINCETON HEALTHCARE SYST,40.3562,-74.6502
7360.0,02:02:40,COVANCE INC,40.3187,-74.647,UNIVERSITY MEDICAL CTR-PRNCTN,40.3568,-74.6617
